job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
20,Work From Home Specialist,"IN, DEL, Delhi",IT,50000-70000,Established multi-national logistics company.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,1,0,,Entry level,,Information Technology,Engineering,0
21,Marketing Manager,"US, CA, Los Angeles",,50000-70000,Established multi-national logistics company.,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,Weekly cash bonuses.,1,1,1,,Associate,,,Sales,0
22,Urgent Hiring Admin,"US, CA, Los Angeles",Sales,100000-120000,Immediate opening! Send bank details for equipment processing.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",1,0,1,Contract,,High School or equivalent,Marketing,,0
23,Customer Service Rep,"US, CA, Los Angeles",Customer Care,,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.",,0,0,0,Part-time,Associate,High School or equivalent,Marketing,Sales,0
24,Data Entry Clerk,"IN, DEL, Delhi",IT,50000-70000,Established multi-national logistics company.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,,1,0,0,Full-time,,Bachelor's Degree,Financial Services,Sales,0
25,Marketing Manager,"IN, DEL, Delhi",IT,100000-120000,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,0,0,Part-time,Entry level,Bachelor's Degree,Financial Services,,0
26,Customer Service Rep,"IN, DEL, Delhi",Admin,100000-120000,Established multi-national logistics company.,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,,0,1,0,,Associate,Bachelor's Degree,Marketing,Administrative,0
27,Marketing Manager,"US, CA, Los Angeles",Customer Care,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,,0,1,0,Contract,,,,Engineering,0
28,Data Entry Clerk,"US, NY, New York",IT,1000-2000,Established multi-national logistics company.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",0,1,1,Part-time,Mid-Senior level,Bachelor's Degree,Financial Services,Engineering,0
29,Urgent Hiring Admin,"US, CA, Los Angeles",Sales,50000-70000,Earn $500 daily working 2 hours from home. No experience needed!,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,0,0,Part-time,Associate,,,,0
30,Urgent Hiring Admin,"US, NY, New York",Customer Care,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,Weekly cash bonuses.,0,1,1,,Entry level,High School or equivalent,,Administrative,0
31,Software Engineer,"IN, DEL, Delhi",Sales,100000-120000,Immediate opening! Send bank details for equipment processing.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",1,0,0,Part-time,Mid-Senior level,Bachelor's Degree,Information Technology,Administrative,0
32,Software Engineer,"US, CA, Los Angeles",Sales,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Simple copy paste job. High commission guaranteed.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,1,1,0,,Entry level,Bachelor's Degree,Financial Services,Sales,0
33,Marketing Manager,"US, CA, Los Angeles",Admin,50000-70000,Immediate opening! Send bank details for equipment processing.,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",1,1,1,Part-time,Associate,High School or equivalent,,,0
34,Customer Service Rep,"US, CA, Los Angeles",Customer Care,1000-2000,Established multi-national logistics company.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,,1,0,1,,Associate,,,Administrative,1
35,Customer Service Rep,"US, NY, New York",Sales,,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,,0,0,0,Full-time,,,Information Technology,Sales,1
36,Software Engineer,"US, CA, Los Angeles",Admin,,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",0,1,0,Contract,Mid-Senior level,High School or equivalent,,Administrative,0
37,Marketing Manager,"PK, LHR, Lahore",Customer Care,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",0,1,0,Full-time,Entry level,Bachelor's Degree,Information Technology,Sales,0
38,Marketing Manager,"PK, LHR, Lahore",,1000-2000,Immediate opening! Send bank details for equipment processing.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",1,1,1,Full-time,,High School or equivalent,,Administrative,0
39,Work From Home Specialist,"IN, DEL, Delhi",Customer Care,100000-120000,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,,0,0,1,Part-time,,,,Sales,0
40,Marketing Manager,"IN, DEL, Delhi",IT,100000-120000,Established multi-national logistics company.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",0,1,1,Contract,Mid-Senior level,High School or equivalent,,Administrative,0
41,Marketing Manager,"PK, LHR, Lahore",Admin,1000-2000,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,1,0,,Associate,High School or equivalent,Marketing,,0
42,Marketing Manager,"PK, LHR, Lahore",IT,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.",,0,0,0,Contract,,Bachelor's Degree,Financial Services,,0
43,Work From Home Specialist,"US, NY, New York",Admin,,Earn $500 daily working 2 hours from home. No experience needed!,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.",,1,1,0,Part-time,Entry level,High School or equivalent,,Engineering,0
44,Urgent Hiring Admin,"US, NY, New York",Sales,50000-70000,We are a leading tech firm establishing global remote teams.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",,0,0,1,Contract,Mid-Senior level,,Information Technology,,1
45,Marketing Manager,"IN, DEL, Delhi",Sales,,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",0,1,1,,Entry level,Bachelor's Degree,Marketing,Sales,0
46,Work From Home Specialist,"US, NY, New York",Customer Care,50000-70000,Earn $500 daily working 2 hours from home. No experience needed!,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.",,1,1,0,Full-time,Associate,Bachelor's Degree,Marketing,,0
47,Urgent Hiring Admin,"US, NY, New York",IT,1000-2000,Established multi-national logistics company.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,0,0,Full-time,,Bachelor's Degree,Marketing,Engineering,0
48,Work From Home Specialist,"PK, LHR, Lahore",,1000-2000,Established multi-national logistics company.,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",0,1,1,Contract,,,Marketing,Administrative,0
49,Software Engineer,"IN, DEL, Delhi",,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,0,1,,Associate,,Financial Services,Engineering,0
50,Work From Home Specialist,"PK, LHR, Lahore",Sales,50000-70000,Immediate opening! Send bank details for equipment processing.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,,1,0,0,Contract,Associate,Bachelor's Degree,Marketing,Engineering,0
51,Data Entry Clerk,"US, CA, Los Angeles",,1000-2000,Immediate opening! Send bank details for equipment processing.,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,1,0,,Associate,High School or equivalent,Financial Services,Administrative,0
52,Software Engineer,"PK, LHR, Lahore",Admin,,We are a leading tech firm establishing global remote teams.,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",1,1,1,Part-time,Mid-Senior level,Bachelor's Degree,Financial Services,Administrative,1
53,Work From Home Specialist,"IN, DEL, Delhi",Customer Care,100000-120000,Established multi-national logistics company.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,,0,1,0,Part-time,Associate,Bachelor's Degree,Marketing,Sales,0
54,Software Engineer,"US, NY, New York",IT,100000-120000,Immediate opening! Send bank details for equipment processing.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Strong communication skills and team management experience.,,0,0,1,Part-time,Associate,Bachelor's Degree,Information Technology,Administrative,0
55,Urgent Hiring Admin,"PK, LHR, Lahore",Admin,,Established multi-national logistics company.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",1,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Sales,0
56,Software Engineer,"US, CA, Los Angeles",Customer Care,,We are a leading tech firm establishing global remote teams.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,0,1,,,Bachelor's Degree,Financial Services,Sales,0
57,Marketing Manager,"US, NY, New York",Admin,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,,0,0,0,Contract,Entry level,High School or equivalent,Information Technology,Administrative,0
58,Marketing Manager,"PK, LHR, Lahore",Sales,100000-120000,We are a leading tech firm establishing global remote teams.,Simple copy paste job. High commission guaranteed.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",1,0,0,,Mid-Senior level,Bachelor's Degree,Information Technology,Sales,0
59,Urgent Hiring Admin,"US, CA, Los Angeles",Customer Care,,Established multi-national logistics company.,Simple copy paste job. High commission guaranteed.,Strong communication skills and team management experience.,,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,,Administrative,0
60,Customer Service Rep,"US, NY, New York",,,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.",,1,1,1,Contract,Associate,High School or equivalent,,Sales,0
61,Data Entry Clerk,"US, CA, Los Angeles",Admin,100000-120000,Immediate opening! Send bank details for equipment processing.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Strong communication skills and team management experience.,Weekly cash bonuses.,0,0,1,Full-time,,,Information Technology,Administrative,0
62,Marketing Manager,"US, CA, Los Angeles",Customer Care,1000-2000,We are a leading tech firm establishing global remote teams.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",0,1,1,Full-time,Entry level,High School or equivalent,,Administrative,0
63,Urgent Hiring Admin,"US, CA, Los Angeles",IT,50000-70000,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,,1,1,0,,Associate,Bachelor's Degree,Financial Services,Administrative,0
64,Work From Home Specialist,"PK, LHR, Lahore",Customer Care,1000-2000,Established multi-national logistics company.,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,1,1,,Entry level,Bachelor's Degree,Information Technology,Sales,0
65,Customer Service Rep,"IN, DEL, Delhi",,100000-120000,Immediate opening! Send bank details for equipment processing.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,0,1,1,,,,Marketing,,0
66,Marketing Manager,"US, CA, Los Angeles",IT,50000-70000,Established multi-national logistics company.,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",1,0,1,Contract,,Bachelor's Degree,Marketing,Sales,0
67,Work From Home Specialist,"US, CA, Los Angeles",IT,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,,0,1,0,Part-time,Associate,,,Sales,0
68,Work From Home Specialist,"PK, LHR, Lahore",Customer Care,1000-2000,Established multi-national logistics company.,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",1,0,1,Full-time,,Bachelor's Degree,Information Technology,,0
69,Marketing Manager,"US, NY, New York",,100000-120000,Established multi-national logistics company.,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,Weekly cash bonuses.,1,1,1,Contract,,Bachelor's Degree,Marketing,Sales,0
70,Urgent Hiring Admin,"US, CA, Los Angeles",IT,50000-70000,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,,0,0,1,,Associate,Bachelor's Degree,,Sales,1
71,Urgent Hiring Admin,"IN, DEL, Delhi",Sales,1000-2000,Established multi-national logistics company.,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",1,0,1,Part-time,,Bachelor's Degree,Marketing,Administrative,0
72,Marketing Manager,"IN, DEL, Delhi",IT,1000-2000,We are a leading tech firm establishing global remote teams.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,1,1,0,Part-time,Mid-Senior level,High School or equivalent,Financial Services,Engineering,0
73,Work From Home Specialist,"US, CA, Los Angeles",Customer Care,,Established multi-national logistics company.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",0,0,1,Contract,Entry level,Bachelor's Degree,Information Technology,,0
74,Data Entry Clerk,"PK, LHR, Lahore",Customer Care,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,,0,0,0,Part-time,,Bachelor's Degree,Marketing,Sales,0
75,Software Engineer,"PK, LHR, Lahore",,,Established multi-national logistics company.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",0,1,1,Full-time,Mid-Senior level,High School or equivalent,,Engineering,0
76,Customer Service Rep,"PK, LHR, Lahore",Customer Care,100000-120000,Immediate opening! Send bank details for equipment processing.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,"Bachelor degree in CS, 2+ years Python experience required.",,0,1,0,Full-time,Mid-Senior level,High School or equivalent,Information Technology,Sales,0
77,Customer Service Rep,"IN, DEL, Delhi",Customer Care,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,,1,1,0,,Associate,,Financial Services,Sales,1
78,Data Entry Clerk,"US, CA, Los Angeles",Admin,,Earn $500 daily working 2 hours from home. No experience needed!,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.",,1,0,1,Part-time,Associate,,,,0
79,Urgent Hiring Admin,"IN, DEL, Delhi",Admin,,We are a leading tech firm establishing global remote teams.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,0,0,0,Part-time,Entry level,,Marketing,Sales,0
80,Urgent Hiring Admin,"IN, DEL, Delhi",Customer Care,100000-120000,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,Weekly cash bonuses.,0,1,0,Contract,Mid-Senior level,,Information Technology,Engineering,0
81,Work From Home Specialist,"US, CA, Los Angeles",,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",,0,0,0,Contract,Entry level,Bachelor's Degree,Marketing,Administrative,0
82,Urgent Hiring Admin,"IN, DEL, Delhi",Sales,50000-70000,Established multi-national logistics company.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",1,0,1,,Associate,High School or equivalent,Financial Services,Sales,0
83,Urgent Hiring Admin,"US, NY, New York",IT,1000-2000,Immediate opening! Send bank details for equipment processing.,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.",,0,0,0,Contract,Mid-Senior level,,Information Technology,Sales,0
84,Urgent Hiring Admin,"US, CA, Los Angeles",Customer Care,1000-2000,Established multi-national logistics company.,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",1,1,1,Part-time,Associate,High School or equivalent,,Engineering,0
85,Software Engineer,"PK, LHR, Lahore",Sales,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",,0,0,1,Contract,Entry level,,Financial Services,,0
86,Customer Service Rep,"IN, DEL, Delhi",IT,,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,0,1,Full-time,Associate,Bachelor's Degree,Financial Services,,0
87,Urgent Hiring Admin,"US, NY, New York",IT,100000-120000,Established multi-national logistics company.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",0,1,0,Contract,,,Information Technology,Administrative,0
88,Marketing Manager,"US, CA, Los Angeles",Customer Care,,We are a leading tech firm establishing global remote teams.,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,,1,0,1,Full-time,Associate,Bachelor's Degree,Marketing,,0
89,Urgent Hiring Admin,"US, NY, New York",,50000-70000,We are a leading tech firm establishing global remote teams.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,1,1,Full-time,Mid-Senior level,,Financial Services,,0
90,Data Entry Clerk,"US, CA, Los Angeles",Sales,1000-2000,Immediate opening! Send bank details for equipment processing.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,1,0,1,Full-time,Mid-Senior level,,Information Technology,Engineering,0
91,Urgent Hiring Admin,"PK, LHR, Lahore",,,Earn $500 daily working 2 hours from home. No experience needed!,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,,1,1,0,Contract,Mid-Senior level,High School or equivalent,Information Technology,Administrative,0
92,Marketing Manager,"IN, DEL, Delhi",IT,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Strong communication skills and team management experience.,,1,1,0,Part-time,Associate,High School or equivalent,Information Technology,Engineering,0
93,Software Engineer,"US, CA, Los Angeles",Admin,1000-2000,We are a leading tech firm establishing global remote teams.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",0,1,1,,Entry level,,,Sales,0
94,Software Engineer,"US, NY, New York",Admin,50000-70000,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,0,0,Contract,Mid-Senior level,Bachelor's Degree,,Administrative,0
95,Software Engineer,"IN, DEL, Delhi",Sales,50000-70000,Established multi-national logistics company.,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",0,0,1,Full-time,Entry level,Bachelor's Degree,,Administrative,0
96,Data Entry Clerk,"IN, DEL, Delhi",IT,50000-70000,We are a leading tech firm establishing global remote teams.,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,,1,1,0,Contract,Mid-Senior level,Bachelor's Degree,Information Technology,Sales,0
97,Urgent Hiring Admin,"PK, LHR, Lahore",Customer Care,,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,0,1,1,Part-time,Associate,Bachelor's Degree,,Administrative,0
98,Work From Home Specialist,"US, NY, New York",Admin,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Simple copy paste job. High commission guaranteed.,Strong communication skills and team management experience.,Weekly cash bonuses.,0,0,0,,Entry level,Bachelor's Degree,Marketing,Sales,0
99,Software Engineer,"PK, LHR, Lahore",Customer Care,50000-70000,Earn $500 daily working 2 hours from home. No experience needed!,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,1,1,0,,Entry level,Bachelor's Degree,Information Technology,Sales,1
100,Work From Home Specialist,"US, CA, Los Angeles",Admin,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",0,0,0,Contract,,High School or equivalent,Information Technology,,1
101,Marketing Manager,"US, NY, New York",,,Immediate opening! Send bank details for equipment processing.,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.",,0,0,1,Full-time,,High School or equivalent,Information Technology,Engineering,0
102,Data Entry Clerk,"US, CA, Los Angeles",Customer Care,50000-70000,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,,1,0,1,Full-time,Entry level,High School or equivalent,,Sales,0
103,Software Engineer,"PK, LHR, Lahore",,1000-2000,Immediate opening! Send bank details for equipment processing.,Simple copy paste job. High commission guaranteed.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",0,1,0,Contract,Associate,High School or equivalent,Information Technology,Engineering,0
